Sentence ID, Reason
32070ca7-1689-4143-88a7-05ea28a637ef, InvalidBracketing
309f5b26-951e-472b-948e-47632249862b, MismatchedSentences
5bf4762f-a06c-47ca-b9ee-51a337e87190, MismatchedSentences
b002932e-4b15-4ba4-acd1-0e7e38213d7a, MismatchedSentences
473dcf93-8705-4ec8-b7cb-2b39bed762e5, MismatchedSentences
8599b37d-79d0-4bca-8944-b1f7ba41a60e, MismatchedSentences
f1fd9290-e34b-4300-842e-9338f28a880c, MismatchedSentences
116ed501-67b5-4e49-9375-482c1fa97f59, MismatchedSentences
0f4ec629-df4c-451e-b4ef-bc51f8608b17, MismatchedSentences
8f83a4bb-ccc7-4ce2-b139-67506b741666, MismatchedSentences
246c06b9-0f64-4895-b781-b0563ad9fd7a, MismatchedSentences
4ccf0b0b-19c5-4de1-9cbd-695661e243fc, MismatchedSentences
511ec1f3-7929-41d7-a3e2-5e8b4c8e25d6, MismatchedSentences
b75ce904-c939-4ce5-8e3f-83f303775335, MismatchedSentences
a313b9eb-b016-445d-ac82-d2f3ddddae80, MismatchedSentences
498fc735-970f-47e7-99d4-5cbdd9c0dfd2, MismatchedSentences
864dfa5f-214d-46b3-a591-6f3b96802427, MismatchedSentences
e8b45ec4-8ce4-48a4-a3c8-22d23acc0ebd, MismatchedSentences
7fe2c5e8-f1c0-4db7-b34f-5f588017f921, MismatchedSentences
dd28c14d-5f63-435c-a411-b486f479ac95, MismatchedSentences
28c6f3db-7741-4ed5-8924-9bde5517ea29, MismatchedSentences
13e846db-5cb6-4414-80ef-d514891eb325, MismatchedSentences
464f226e-8571-4c67-aa49-76d18248952e, MismatchedSentences
d1c68b82-3ae4-4e2c-9a68-9fc7e23a91e9, MismatchedSentences
ecfeb6dd-09b1-47a2-9406-449f4a401a6f, MismatchedSentences
03125d31-ef85-49c9-a0b7-e7e4e811ac59, MismatchedSentences
d3ed0bb7-3471-4162-a062-56449991c3ee, MismatchedSentences
39b83f85-714f-4257-a245-0fe9d2b1df4e, MismatchedSentences
5a2c0d2b-c998-44c5-97dc-0cf46aa750c9, MismatchedSentences
de196788-50d8-4aee-b0bd-f9e801c53daf, MismatchedSentences
e6df382a-4508-4254-b17c-0604537511f7, MismatchedSentences
c3a47cb9-2d12-45f7-a3ca-7fda14550f96, MismatchedSentences
e0bb823f-6ff4-481d-b7cc-f7c5e4449fc0, MismatchedSentences
508a60f9-c239-4692-813e-2c61ea17a8b0, MismatchedSentences
4d9fc77d-ac59-49e2-aea5-3ab328c1e71e, MismatchedSentences
7de76cb6-75d4-42ac-b581-8c947e8a4bee, MismatchedSentences
4ab936ee-bc42-4dd5-b7d0-9c7db8746a0d, MismatchedSentences
3b9ee7fc-f645-4e43-9f8b-37aaec723c49, MismatchedSentences
1bd8f28a-b34f-42dd-935f-92751c300e58, MismatchedSentences
149a8803-b9d6-4281-a064-2064e547c9b6, MismatchedSentences
cab609c3-a28f-4ff9-98e3-3b63ff854586, MismatchedSentences
1d17681b-c5de-4c0d-88a7-9aed5a436cd6, MismatchedSentences
6ca1a6e2-4144-4d4f-9f16-977fef4da891, MismatchedSentences
6e9b8e9d-c978-495b-b283-c6457387954c, MismatchedSentences
7fd96809-dc22-4926-b499-efe85c85df31, MismatchedSentences
f03aa7ab-4dc2-4312-b556-f245c01c1e84, MismatchedSentences
3e04239e-3b0c-4c22-b2c2-16d4bae9f133, MismatchedSentences
53e33368-86ce-44c6-a97d-d825b174ebd6, MismatchedSentences
f4e2778d-2787-4d3d-bf7c-e16e968b15f5, MismatchedSentences
890d1de5-2cc9-4739-9eca-99cc92ca8b56, MismatchedSentences
6d958777-02c5-46fe-bc5b-c38cfd89493d, MismatchedSentences
06ed0278-89a3-4e0f-b2e9-be4b25ecf800, MismatchedSentences
23d2306b-1f50-4cdc-99b1-5743c9cb358e, MismatchedSentences
87431d54-5e98-4c61-9cb5-a1c3a21ac2b8, MismatchedSentences
d401956b-9268-4607-9786-d8780c3d5cf7, MismatchedSentences
693a5b76-faa0-4fc5-9788-602b6d83cce6, MismatchedSentences
f5945557-24e8-4808-b976-cc939cda48f8, MismatchedSentences
67bbd9e3-2ed6-4c25-8763-d4bd62bbf17d, MismatchedSentences
34f9fabe-356f-42c2-91ce-f282d3d72a76, MismatchedSentences
b3d760c8-f1fc-494c-98e7-3c924df01343, MismatchedSentences
ef30f8c1-d8cd-4de1-ad64-c5d20b2e1dd9, MismatchedSentences
7f8c6232-9d8d-4d8a-ad72-f266daad372b, MismatchedSentences
b60c0a17-72b4-4417-a248-7ccc48a8c499, MismatchedSentences
5111ddd5-29c7-45f0-8078-ab0eb1edf6d4, MismatchedSentences
7b175685-7846-4b9c-8baf-de68b6b50448, BracketsNotFound
559327aa-823f-42f2-bef8-d21a1e41bc06, MismatchedSentences
217ec7d7-bce0-4c58-83a6-21836a6634ed, MismatchedSentences
e370bf2b-18a8-468c-abc7-af8b31648adf, MismatchedSentences
9f03e479-4c5f-48cf-9d9e-43423e6b2f5f, MismatchedSentences
1a6db3dd-f237-42b0-90b5-12e4cf43ca03, MismatchedSentences
39193d1e-429d-4319-aae6-ff2a8f31d7e1, MismatchedSentences
21cbe075-52ac-4fc7-8b98-dd53eb4d1383, MismatchedSentences
496eba68-ec03-423c-ba19-afdc06a87d05, MismatchedSentences
436e72ea-99c0-4f55-bea1-af6127b55760, MismatchedSentences
dbdd1d53-b819-4794-88e4-44d134652a6b, MismatchedSentences
eb542ca0-7ee4-43d4-b862-0ac6c4289263, MismatchedSentences
87b72136-e039-4578-9571-c3cb9f232973, MismatchedSentences
9ac4ba1f-5f4f-463a-a5c6-aa7825435bb2, MismatchedSentences
519357fe-59d4-4173-844f-b290a55ab1d6, MismatchedSentences
